,Address,Price,Beds,Baths,Receptions,URL
142,"High Road, Romford, RM6 ","£200,000",Studio,3,2,https://www.century21uk.com/property/317/f9e33985765d759fd0a1f7db1a7699d9/
143,"Stourton Avenue, Feltham, TW13 ","£199,950",1,1,1,https://www.century21uk.com/property/15/7dc3b69cd3099982477021a6450bce67/
144,"South Street, Romford, RM1 ","£196,000",4,1,1,https://www.century21uk.com/property/270/f9e33985765d759fd0a1f7db1a7699d9/
145,"Damsonwood Road, southall, UB2 ","£195,000",1,1,1,https://www.century21uk.com/property/155/113edcbba40c8723302988b89a7a7959/
146,"Hermitage Lane, London, SE25 ","£170,000",1,1,1,https://www.century21uk.com/property/34/d05c3e0ebfc8ab44e6c24b615bad1fb8/
147,"Queensway, London, W2 ",POA,Studio,1,,https://www.century21uk.com/property/863/5102e55d050e2bd0383793b2556063c6/
148,"Gray's Inn Road, London, WC1X ","£125,000",Studio,,,https://www.century21uk.com/property/472/5102e55d050e2bd0383793b2556063c6/
149,"St. John Street, London, EC1V ","£125,000",Studio,1,,https://www.century21uk.com/property/1019/5102e55d050e2bd0383793b2556063c6/
150,"Southwold Road, London, E5 ","£110,000",Studio,1,,https://www.century21uk.com/property/694/93babe68b188cb8fbe34b57dc3e6d93d/
151,"Elmer Gardens, Rainham, RM13 ","£95,000",Studio,1,,https://www.century21uk.com/property/460/f9e33985765d759fd0a1f7db1a7699d9/
152,"High Street, London, E17 ","£90,000",1,1,1,https://www.century21uk.com/property/311/f9e33985765d759fd0a1f7db1a7699d9/
153,"Station Road, Romford, RM6 ","£95,000",Studio,1,,https://www.century21uk.com/property/564/f9e33985765d759fd0a1f7db1a7699d9/
154,"High Road Leytonstone , London, E11 ","£90,000",2,1,1,https://www.century21uk.com/property/367/f9e33985765d759fd0a1f7db1a7699d9/
155,"53 Chislehurst Road, Chislehurst, BR7 ","£73,000",Studio,1,,https://www.century21uk.com/property/447/f9e33985765d759fd0a1f7db1a7699d9/
156,"Greengate Street, London, E13","£65,000",Studio,1,,https://www.century21uk.com/property/446/f9e33985765d759fd0a1f7db1a7699d9/
